Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize,Age_na,DriverRating_na
6,5,4,3,2,8,3,1,1,2,28.0,2,2,1,1,18,6,400,1.0,4,3,4,6,5,1,1,1,1,4,1,1994,2,6659.00666681981,False,False
9,4,5,14,2,3,10,5,2,3,32.0,1,3,2,1,19,6,400,3.0,4,3,1,6,5,1,1,1,4,4,1,1994,3,5906.59731276826,False,True
1,2,1,10,2,7,10,1,2,2,40.0,1,3,2,1,21,3,400,1.0,4,3,1,7,6,1,1,1,3,4,1,1994,3,8219.96931968592,False,False
5,2,3,3,2,3,6,2,2,2,47.0,1,2,1,1,22,13,400,2.0,4,3,1,7,7,1,1,1,4,3,2,1994,2,1298.64391192781,False,False
8,3,2,14,2,7,2,1,2,2,60.0,1,3,2,1,26,16,400,4.0,4,3,3,7,8,1,1,1,4,4,1,1994,3,22262.9336731903,False,False
8,3,5,7,2,6,8,4,2,2,21.0,1,2,1,2,27,1,400,2.0,4,3,3,4,4,1,1,1,3,4,1,1994,2,84964.7535817558,False,False
6,1,3,7,2,7,13,4,2,3,0.0,1,1,1,6,29,9,400,1.0,4,3,4,8,1,1,1,1,4,4,1,1994,1,64194.6963515959,False,False
9,3,2,10,2,8,10,4,1,2,39.0,1,2,1,1,30,12,400,3.0,4,3,4,6,6,1,1,1,4,4,1,1994,2,6856.39679898433,False,False
8,2,1,4,2,4,9,2,2,2,47.0,1,2,1,2,31,2,400,1.0,4,3,2,7,7,1,1,2,4,4,1,1994,2,54233.7898232182,False,False
8,2,7,3,2,8,9,2,2,3,42.0,1,2,1,1,33,2,400,3.0,4,3,3,6,6,1,1,1,2,4,1,1994,2,23868.7894652824,False,False
5,4,2,7,2,7,6,4,2,3,38.0,2,2,1,1,34,2,400,4.0,4,3,4,5,5,1,1,1,1,4,1,1994,2,8839.11426212443,True,False
11,2,6,7,2,6,12,3,2,2,30.0,2,2,1,1,37,11,400,4.0,4,3,4,5,5,1,1,1,3,4,1,1994,2,5227.57916347377,False,False
12,2,1,10,2,2,13,3,2,3,27.0,1,2,1,2,38,4,400,2.0,4,3,4,6,5,1,1,1,3,4,1,1994,2,3124.07994799738,False,False
8,4,7,3,2,8,2,1,1,2,35.0,1,2,1,1,41,11,400,1.0,4,3,2,5,5,1,1,1,3,4,1,1994,2,2714.29004930399,False,False
8,3,1,14,2,8,9,4,2,2,44.0,1,1,1,1,42,15,400,1.0,4,3,2,6,6,1,1,1,2,4,3,1994,1,1584.08867680269,False,False
6,1,2,18,2,3,7,1,1,3,42.0,1,3,2,1,43,12,400,4.0,4,3,4,3,6,1,1,1,4,3,2,1994,3,1462.33073523369,False,False
5,3,6,7,2,3,6,4,2,2,41.0,1,2,1,1,44,5,400,2.0,4,3,2,6,6,1,1,1,1,4,1,1994,2,3876.37663279463,False,False
5,3,7,18,2,8,6,4,2,2,72.0,2,2,1,1,45,16,400,1.0,4,3,4,7,9,1,1,1,4,4,1,1994,2,9157.70733868184,False,False
4,2,7,14,2,6,5,2,1,2,29.0,2,1,1,5,46,8,400,3.0,4,3,2,4,5,1,1,1,4,4,1,1994,1,9947.15647459238,False,False
4,2,5,14,2,3,5,3,2,3,32.0,2,2,1,2,47,9,400,4.0,4,3,4,5,5,1,1,2,4,4,1,1994,2,4658.42724707721,False,False
10,4,5,10,2,2,11,4,2,2,37.0,1,3,2,2,48,13,400,3.0,4,3,2,4,6,1,1,1,3,4,1,1994,3,13736.9279243371,False,False
1,3,1,14,2,7,2,3,2,2,59.0,1,2,1,1,50,9,400,4.0,4,3,3,7,8,1,1,1,2,4,1,1994,2,16456.6310582078,False,False
9,4,1,14,2,2,10,4,2,2,49.0,1,3,2,2,51,14,400,2.0,4,3,3,7,7,1,1,1,4,4,1,1994,3,52494.3374219172,False,False
7,4,7,14,2,2,8,4,2,2,27.0,1,3,2,1,52,4,500,3.0,4,3,2,5,5,1,1,1,2,2,1,1994,3,3302.19263906462,False,False
6,3,4,7,1,8,6,4,2,2,21.0,1,5,2,6,53,4,400,4.0,4,3,4,3,4,1,1,1,2,4,1,1994,2,61043.3480121366,False,False
7,4,6,14,2,7,8,4,2,3,45.0,1,2,1,2,55,8,400,1.0,4,3,1,6,6,1,1,1,1,4,1,1994,2,58488.9243920724,False,False
3,3,2,10,2,8,4,3,2,2,49.0,2,1,1,1,56,7,400,4.0,4,3,4,7,7,1,1,1,2,4,1,1994,1,6290.34049415641,False,False
7,4,1,7,2,6,8,5,2,3,30.0,1,1,1,1,57,5,400,4.0,4,3,2,5,5,1,1,1,4,4,1,1994,1,100701.440976097,False,False
10,2,1,1,2,3,11,2,2,3,37.0,1,2,1,6,58,11,400,3.0,4,3,2,6,6,1,1,1,4,4,1,1994,2,74810.309390384,False,False
9,1,2,7,1,8,10,4,2,3,0.0,1,3,2,6,59,15,400,4.0,4,3,4,8,1,1,1,1,4,4,1,1994,3,79417.3288217744,False,False
9,1,7,3,2,3,10,2,1,3,27.0,1,2,1,1,60,4,400,4.0,4,3,4,5,5,1,1,1,1,4,1,1994,2,2878.74513406543,False,False
10,1,2,18,2,3,11,3,2,3,30.0,1,1,1,2,61,5,400,4.0,4,3,4,4,5,1,1,1,4,4,1,1994,1,4155.9877320723,False,False
12,2,6,14,2,2,6,4,2,2,49.0,1,8,3,3,62,6,400,4.0,4,3,4,7,7,1,1,1,4,4,1,1994,2,6238.90822766288,False,False
10,4,4,7,2,2,6,3,2,3,0.0,2,1,1,6,63,3,400,2.0,4,3,2,8,1,1,1,1,4,4,1,1994,1,77167.2232461485,False,False
4,5,2,18,2,7,9,1,2,2,26.0,1,3,2,1,64,13,400,3.0,4,3,2,6,5,1,1,1,3,3,2,1994,3,2876.11265102375,False,False
3,1,1,14,2,7,4,2,2,3,48.0,1,2,1,1,65,1,400,1.0,4,3,4,6,7,1,1,1,4,4,1,1994,2,5315.14779768608,False,False
3,4,1,10,2,3,6,2,2,3,31.0,1,1,1,1,66,6,400,3.0,4,3,4,6,5,1,1,1,4,4,1,1994,1,3174.15685889276,False,False
8,3,1,12,2,2,9,3,2,3,40.0,2,2,1,6,67,16,400,2.0,4,3,1,6,6,1,1,1,3,4,1,1994,2,50099.5570573993,False,False
2,4,5,10,2,3,3,5,2,2,65.0,1,3,2,2,68,12,400,1.0,4,3,2,7,8,1,1,1,3,4,1,1994,3,99812.6347876931,False,False
5,1,4,18,2,7,6,1,2,2,64.0,1,2,1,1,69,5,400,1.0,4,3,1,7,8,1,1,1,4,4,1,1994,2,2922.35731892594,False,False
5,1,4,7,2,8,6,1,2,2,55.0,1,3,2,1,70,12,400,2.0,4,3,2,6,7,1,1,1,3,4,1,1994,3,8960.04326512298,False,False
5,1,4,7,2,8,6,1,2,3,44.0,1,2,1,1,71,16,400,1.0,4,3,2,6,6,1,1,1,2,4,1,1994,2,7292.54144233941,False,False
5,1,6,10,2,6,6,1,2,2,27.0,1,2,1,1,72,9,400,3.0,4,3,1,5,5,1,1,1,1,4,1,1994,2,3188.997856986,False,False
12,4,5,3,2,3,6,5,1,3,28.0,2,2,1,1,73,5,400,3.0,2,3,1,4,5,1,1,1,4,4,1,1994,2,8027.19227730757,False,False
1,5,3,10,2,7,10,1,2,2,60.0,2,2,1,6,75,12,400,3.0,4,3,3,6,8,1,1,1,3,4,1,1994,2,63535.6100346822,False,False
2,1,3,6,2,8,3,4,2,2,33.0,2,2,1,2,76,9,400,4.0,4,3,3,5,5,1,1,1,4,4,1,1994,2,12593.4143671265,False,False
11,4,6,3,2,3,6,1,2,2,27.0,2,1,1,1,77,1,400,3.0,4,3,4,5,5,1,1,1,4,4,1,1994,1,2709.0088113366,False,False
4,2,1,7,2,7,5,3,1,2,47.0,2,5,2,6,78,12,400,3.0,4,3,4,7,7,1,1,1,4,4,1,1994,2,83871.7995055998,False,False
4,2,1,8,1,7,5,3,1,3,29.0,1,3,2,2,79,16,400,1.0,4,3,2,4,5,1,1,1,2,4,1,1994,3,56479.0906568321,False,False
4,4,3,18,2,2,9,1,1,2,33.0,2,2,1,2,80,10,400,1.0,4,3,2,6,5,1,1,1,3,4,1,1994,2,84417.6742873722,False,False
5,3,5,10,2,2,6,4,2,3,37.0,2,3,2,1,82,6,400,2.0,4,3,1,6,6,1,1,1,4,4,1,1994,3,8861.97370679354,False,False
10,5,6,18,2,2,5,1,1,2,44.0,1,3,2,1,84,9,400,4.0,4,3,4,5,6,1,1,1,1,4,1,1994,3,2335.44650783732,False,False
3,1,7,7,2,3,6,1,2,3,0.0,1,3,2,6,85,6,400,2.0,4,3,3,8,1,1,1,1,4,3,2,1994,3,58093.4197985716,False,False
3,2,6,3,1,7,9,1,2,2,27.0,1,9,3,6,86,4,400,4.0,4,3,1,5,5,1,1,1,3,4,1,1994,3,50201.4284480754,False,False
9,4,4,10,2,8,10,4,2,3,39.0,2,1,1,1,88,1,400,2.0,4,3,2,3,6,1,1,1,3,4,1,1994,1,5015.33016030941,False,False
11,5,3,14,2,3,12,5,2,2,74.0,2,1,1,2,89,13,400,4.0,4,3,4,6,9,1,1,1,2,4,1,1994,1,5790.73446465997,False,False
11,4,4,7,2,7,12,4,1,3,25.0,2,5,2,6,91,2,400,1.0,4,3,4,5,4,1,1,1,3,4,1,1994,2,55591.493622206,False,False
5,2,7,14,2,8,6,2,2,3,38.0,1,3,2,1,92,13,400,2.0,4,3,3,6,6,1,1,1,2,1,1,1994,3,20245.845800524,False,False
2,4,3,14,2,3,3,5,2,2,38.0,1,2,1,1,94,13,700,3.0,4,3,2,6,6,1,1,1,3,4,1,1994,2,2045.7190777478,False,False
9,2,6,7,2,6,10,2,2,2,61.0,2,2,1,2,96,15,400,4.0,4,3,4,7,8,1,1,1,3,4,1,1994,2,6689.02415680872,False,False
10,2,1,18,2,7,6,1,2,2,38.0,1,2,1,1,97,7,400,2.0,4,3,1,6,6,1,1,1,4,4,1,1994,2,5097.07452390606,False,False
10,3,2,14,2,8,6,4,2,2,41.0,2,1,1,1,99,12,400,4.0,4,3,2,6,6,1,1,1,4,4,1,1994,1,2103.18508925209,False,False
10,3,6,3,2,8,6,2,2,2,31.0,1,7,3,6,101,2,400,1.0,4,3,3,6,5,1,1,1,3,4,1,1994,1,50754.8040303591,False,False
5,5,3,14,2,3,6,5,1,2,35.0,2,1,1,1,102,10,400,4.0,4,3,1,5,5,1,1,1,4,4,1,1994,1,7518.59161056746,False,False
5,4,1,6,2,3,5,1,1,2,37.0,1,1,1,6,103,14,500,2.0,4,3,2,5,6,2,1,1,2,4,1,1994,1,53404.0297019986,False,False
5,1,5,10,2,7,6,2,2,2,55.0,1,1,1,1,104,14,400,3.0,4,3,4,7,7,1,1,1,3,4,1,1994,1,6188.48508960402,False,False
5,1,6,14,2,6,6,1,2,3,31.0,2,1,1,1,105,12,400,4.0,4,3,2,6,5,1,1,1,1,4,1,1994,1,5464.35640351837,False,False
2,1,2,10,2,6,3,1,2,2,28.0,1,2,1,1,107,11,400,2.0,4,3,2,6,5,1,1,1,4,4,1,1994,2,1671.46341601906,False,False
7,1,5,3,2,6,12,4,2,2,47.0,1,1,1,1,109,1,400,1.0,4,3,1,7,7,1,1,1,4,4,1,1994,1,5054.19523630365,False,False
9,2,6,18,2,2,13,1,2,3,23.0,1,2,1,1,111,4,400,2.0,4,3,2,4,4,1,1,1,4,4,1,1994,2,3536.79672385733,False,False
9,2,2,14,2,6,10,2,2,3,38.0,1,1,1,1,112,6,400,3.0,4,3,2,5,5,1,1,1,4,4,1,1994,1,6061.02627927888,True,False
10,4,5,7,2,6,4,5,2,2,35.0,2,1,1,1,113,9,400,1.0,4,3,4,5,5,1,1,1,4,4,1,1994,1,3058.80461760019,False,False
3,4,2,3,2,8,6,1,2,2,50.0,2,2,1,1,115,2,400,3.0,4,3,1,7,7,1,1,1,3,4,1,1994,2,5514.0821718031,False,False
3,2,6,7,2,8,6,2,2,3,16.0,2,5,2,6,116,2,400,1.0,4,3,2,3,2,1,1,1,2,4,1,1994,2,83591.4331868486,False,False
2,2,2,14,2,7,3,5,2,3,28.0,1,3,2,1,118,4,400,3.0,4,3,2,5,5,1,1,1,2,4,1,1994,3,5201.18335441868,False,False
10,5,2,10,2,8,4,1,2,3,68.0,1,1,1,1,119,9,400,3.0,4,3,2,4,9,1,1,1,4,4,1,1994,1,1063.26295771531,False,False
3,1,1,7,1,2,4,3,2,3,0.0,1,1,1,6,120,7,400,3.0,4,3,4,8,1,1,1,1,4,4,1,1994,1,69029.5913970599,False,False
4,1,1,7,1,2,9,3,2,3,0.0,1,1,1,6,121,8,400,3.0,4,3,4,8,1,1,1,1,4,4,1,1994,1,62822.3224087184,False,False
7,3,2,14,2,3,8,3,2,3,30.0,1,2,1,6,123,2,400,1.0,4,3,3,5,5,1,1,1,1,4,1,1994,2,59263.7024344489,False,False
1,4,6,7,2,7,2,4,2,2,51.0,1,2,1,1,124,1,400,4.0,4,3,3,7,7,1,1,1,4,4,3,1994,2,14029.0334523622,False,False
4,2,4,18,2,3,5,2,2,3,22.0,2,1,1,2,125,6,400,3.0,4,3,4,5,4,1,1,1,2,4,1,1994,1,1592.36990150366,False,False
5,4,3,4,2,3,9,1,2,2,53.0,1,2,1,2,127,15,400,2.0,4,3,4,7,7,2,1,1,4,3,2,1994,2,0.0,False,False
5,4,4,3,1,3,6,4,2,2,27.0,2,3,2,2,129,9,400,3.0,4,3,3,5,5,1,2,1,4,4,1,1994,3,11568.3272260302,False,False
10,4,2,7,2,7,11,4,2,3,29.0,1,2,1,1,130,14,400,3.0,4,3,2,6,5,1,1,1,2,4,1,1994,2,767.664492706068,False,False
6,2,1,14,2,2,7,2,2,3,32.0,1,2,1,1,131,10,400,1.0,4,3,3,4,5,1,1,1,3,4,1,1994,2,19773.0862810272,False,False
1,4,5,7,2,2,2,4,2,3,18.0,2,2,1,1,132,14,400,3.0,4,3,4,2,3,1,1,1,3,4,1,1994,2,8606.04253787013,False,False
11,3,5,14,2,6,12,4,2,2,60.0,2,2,1,1,133,6,400,4.0,4,3,2,7,8,1,1,1,1,4,1,1994,2,9195.6689726381,False,False
8,2,2,18,2,7,9,4,2,2,41.0,2,2,1,1,137,9,400,4.0,4,3,1,6,6,1,1,1,3,4,1,1994,2,4191.31694249056,False,False
4,4,2,18,2,8,9,1,2,2,29.0,1,1,1,1,138,9,400,4.0,4,3,4,6,5,1,1,1,3,4,1,1994,1,6061.06981961005,False,False
3,4,7,12,2,6,6,1,2,2,42.0,1,1,1,1,139,2,400,2.0,4,3,3,6,6,1,1,1,4,4,1,1994,1,13980.7120145997,False,False
7,4,2,14,2,7,7,1,2,2,32.0,1,1,1,1,142,3,400,4.0,4,3,1,5,5,1,1,1,2,4,1,1994,1,1916.43587444163,False,False
4,5,2,3,2,2,9,1,2,2,52.0,1,3,2,1,143,10,400,4.0,4,3,4,7,7,1,1,2,2,4,4,1994,3,6387.33252839183,False,False
4,3,5,18,2,2,5,3,2,2,61.0,1,2,1,1,144,8,400,2.0,4,3,2,7,8,1,1,1,4,4,1,1994,2,2670.71161098707,False,False
10,1,5,10,2,2,11,1,2,2,41.0,1,1,1,2,146,6,400,1.0,4,3,4,6,6,1,1,1,4,4,1,1994,1,5109.10719680292,False,False
3,1,2,18,1,7,10,3,2,2,39.0,1,1,1,2,148,1,400,3.0,4,3,4,7,6,1,1,1,3,5,2,1994,1,9595.95393765957,False,False
5,2,2,14,2,2,6,2,1,2,31.0,2,2,1,1,151,8,400,1.0,4,3,2,6,5,1,1,1,3,4,1,1994,2,5160.08469190022,False,False
5,2,6,14,2,7,6,2,2,3,23.0,1,3,2,2,152,8,400,4.0,4,3,3,4,4,1,1,1,2,4,1,1994,3,12084.1993772337,False,False
5,2,6,14,2,2,6,2,2,3,31.0,2,3,2,2,153,10,400,3.0,4,3,1,6,5,1,1,1,1,4,1,1994,3,26381.0364584074,False,False
12,4,6,7,2,3,12,1,2,2,50.0,2,1,1,1,154,2,500,3.0,4,3,2,6,7,1,1,1,3,2,1,1994,1,4633.07688663585,False,False
5,5,3,7,2,3,6,5,1,3,33.0,2,3,2,1,155,8,400,3.0,4,3,2,5,5,1,1,1,4,4,1,1994,3,5367.87801063815,False,False
5,5,4,1,2,7,5,1,2,2,30.0,1,3,2,2,156,6,400,2.0,4,3,3,5,5,1,1,1,2,4,1,1994,3,69032.4975191079,False,False
5,5,2,10,2,6,5,1,2,2,44.0,1,2,1,3,157,13,400,1.0,4,3,3,7,6,1,1,1,4,4,1,1994,2,80176.9989522525,False,False
5,4,7,3,2,7,5,4,2,2,46.0,1,1,1,6,158,13,400,2.0,4,3,1,6,7,1,1,1,3,4,1,1994,1,51208.1874406152,False,False
5,5,3,7,2,8,5,1,2,3,31.0,1,3,2,1,159,11,400,4.0,4,3,2,5,5,1,1,1,2,4,1,1994,3,7730.29591404469,False,False
5,5,1,7,2,2,6,5,2,2,48.0,1,3,2,1,160,5,400,3.0,4,3,2,7,7,1,1,1,4,4,1,1994,3,8696.48386951635,False,False
3,2,1,3,2,2,6,2,2,2,33.0,1,1,1,6,161,12,400,3.0,4,3,4,5,5,1,1,1,4,4,1,1994,1,51335.8290596568,False,False
5,4,6,7,2,8,6,4,2,3,0.0,1,3,2,6,162,3,400,1.0,4,3,2,8,1,1,1,1,4,4,1,1994,3,51707.8402155283,False,False
5,4,1,3,2,8,6,4,1,3,37.0,2,3,2,6,163,5,400,3.0,4,3,1,6,6,1,1,1,1,4,1,1994,3,64586.618621288,False,False
5,4,1,18,2,6,6,4,2,2,43.0,2,1,1,5,164,3,400,3.0,4,3,4,6,6,1,1,1,4,4,1,1994,1,3241.70225610438,False,False
5,2,7,18,2,3,6,4,1,2,32.0,2,2,1,2,165,14,400,1.0,4,3,3,3,5,1,1,1,1,4,3,1994,2,50943.2755097315,False,False
5,2,5,18,2,6,6,2,2,2,57.0,1,3,2,1,166,4,400,1.0,4,3,2,7,8,1,1,1,2,4,1,1994,3,7438.40408974705,False,False
11,2,3,18,2,3,12,2,1,3,27.0,1,2,1,1,168,12,400,4.0,4,3,4,5,5,1,1,1,1,4,1,1994,2,1203.36165898769,False,False
9,4,1,13,1,8,7,2,2,2,42.0,1,7,3,6,169,6,400,4.0,4,3,2,7,6,1,1,1,4,3,2,1994,1,82440.2083670953,False,False
9,3,5,7,2,3,10,4,2,2,57.0,1,3,2,1,170,7,400,1.0,4,3,2,7,8,1,1,1,3,4,1,1994,3,1349.53206812525,False,False
8,4,1,14,2,8,9,5,2,3,32.0,1,1,1,1,171,2,400,3.0,4,3,4,6,5,1,1,1,3,4,1,1994,1,4941.67528436364,False,False
4,2,2,19,2,7,5,4,2,2,36.0,1,2,1,2,173,2,400,4.0,4,3,4,6,6,1,1,1,4,4,1,1994,2,1680.05813645407,False,False
4,1,2,7,2,7,5,2,1,3,32.0,1,1,1,5,175,14,400,1.0,4,3,1,5,5,1,1,1,1,4,1,1994,1,2788.4146197906,False,False
4,1,4,3,2,6,5,2,2,3,33.0,1,1,1,1,176,1,400,2.0,4,3,4,5,5,1,1,1,4,4,1,1994,1,0.0,False,False
4,2,6,16,2,8,5,2,2,2,37.0,1,1,1,2,177,1,400,2.0,4,3,2,7,6,1,1,1,2,4,1,1994,1,52942.992707335,False,False
5,5,6,7,2,8,5,1,1,3,26.0,1,3,2,1,178,16,400,3.0,4,3,3,5,5,1,1,1,3,4,1,1994,3,13290.6464902749,False,False
5,3,4,3,2,8,6,3,2,2,53.0,1,1,1,1,179,5,400,1.0,4,3,1,7,7,1,1,1,1,4,1,1994,1,3069.55522767469,False,False
5,3,3,12,1,7,6,3,2,2,53.0,2,1,1,1,180,12,400,3.0,4,3,1,7,7,1,1,1,4,4,1,1994,1,2458.71794045361,False,False
5,3,2,6,2,7,6,3,2,2,74.0,1,1,1,5,181,8,400,4.0,4,3,2,7,9,1,1,1,1,4,1,1994,1,7897.53277459034,False,False
7,3,6,14,2,6,7,4,2,2,50.0,1,2,1,1,182,3,400,2.0,4,3,1,6,7,1,1,1,4,4,1,1994,2,8461.49404753265,False,False
7,2,5,10,2,2,8,2,2,3,27.0,2,1,1,1,183,3,400,4.0,4,3,4,5,5,1,1,1,4,1,1,1994,1,3601.50438180036,False,False
3,2,4,18,2,7,5,1,2,2,48.0,2,1,1,1,184,7,400,1.0,4,3,3,7,7,1,1,1,3,4,1,1994,1,39437.2124316783,False,False
5,1,4,3,2,7,6,1,1,3,55.0,2,1,1,1,185,2,400,2.0,4,3,4,6,7,1,1,1,2,4,1,1994,1,8960.65759254679,False,False
5,1,4,14,2,8,6,1,2,2,48.0,1,1,1,1,186,10,400,4.0,4,3,4,7,7,1,1,1,3,4,1,1994,1,1516.57059757309,False,False
5,1,2,7,2,8,6,2,2,3,0.0,2,3,2,6,187,8,400,4.0,4,3,2,8,1,1,1,1,4,4,1,1994,3,73450.6398447983,False,False
3,5,5,14,2,2,6,2,2,2,54.0,2,3,2,1,188,10,400,4.0,4,3,1,6,7,1,1,1,4,4,1,1994,3,7095.7333781378,False,False
3,2,2,10,2,3,6,1,2,2,43.0,1,1,1,2,190,10,400,2.0,4,3,2,7,6,1,1,1,4,3,2,1994,1,50130.9994560353,False,False
3,5,1,10,2,7,6,1,2,2,41.0,1,2,1,2,191,1,400,4.0,4,3,4,7,6,1,1,1,2,4,1,1994,2,5341.58522779065,False,False
4,2,4,18,2,3,5,3,1,2,43.0,1,1,1,1,194,1,400,3.0,4,3,4,5,6,1,1,1,4,4,1,1994,1,5383.50418269285,False,False
3,3,5,7,2,3,6,1,2,2,39.0,1,5,2,6,195,13,400,3.0,4,3,4,7,6,1,1,1,4,4,1,1994,2,63282.7143677042,False,False
4,1,1,3,2,8,5,2,2,2,49.0,2,2,1,2,196,4,400,3.0,4,3,1,7,7,1,1,1,3,4,1,1994,2,19544.1986664361,False,False
2,1,7,10,2,6,13,2,2,2,36.0,2,2,1,1,198,1,400,3.0,4,3,2,6,6,1,1,1,3,4,1,1994,2,7932.69088613948,False,False
8,1,4,14,2,2,9,2,1,2,52.0,1,1,1,1,199,4,400,4.0,4,3,2,5,7,1,1,1,3,4,1,1994,1,683.257352622543,False,False
3,4,1,10,2,3,6,1,2,2,38.0,2,2,1,1,201,10,400,4.0,4,3,4,7,6,1,1,1,4,4,1,1994,2,6415.38455593895,False,False
3,4,2,7,1,2,6,2,2,3,0.0,1,2,1,6,203,14,400,3.0,4,3,2,8,1,1,1,1,4,4,1,1994,2,83698.6991271822,False,False
12,1,2,7,1,7,13,1,2,2,41.0,1,3,2,2,204,6,400,4.0,4,3,4,6,6,1,1,1,4,4,1,1994,3,823.183581169203,False,False
3,3,1,14,2,7,6,3,2,2,41.0,2,1,1,5,205,16,500,3.0,5,3,2,6,6,1,1,1,4,2,1,1994,1,2488.549523954,False,False
1,4,3,14,2,7,10,1,2,2,64.0,1,2,1,1,206,15,400,3.0,4,3,1,7,8,1,1,1,4,4,3,1994,2,2199.77943132296,False,False
3,3,3,14,2,3,6,2,2,2,27.0,1,2,1,6,207,11,400,4.0,4,3,2,3,5,1,1,1,1,4,1,1994,2,55309.9207350737,False,False
11,1,3,18,2,7,12,2,2,3,21.0,2,2,1,1,209,5,400,2.0,4,3,1,4,4,1,1,1,4,4,1,1994,2,2081.79607028236,False,False
3,4,6,14,1,8,9,3,2,2,31.0,2,1,1,5,210,16,400,2.0,4,3,4,5,5,1,1,1,4,4,1,1994,1,8577.54044935225,False,False
1,3,2,14,2,3,2,3,2,3,39.0,1,2,1,1,211,3,400,1.0,4,3,4,7,6,1,1,1,3,3,2,1994,2,3114.78746682055,False,False
4,4,7,7,1,3,5,5,1,2,37.0,2,1,1,5,212,1,400,1.0,4,3,4,4,6,1,1,1,2,4,1,1994,1,5802.12187142773,False,False
4,3,2,1,2,7,5,3,2,2,41.0,1,2,1,1,213,11,400,4.0,4,3,3,6,6,1,1,1,1,4,1,1994,2,14529.2534367344,False,False
2,2,5,14,2,8,3,3,2,2,37.0,1,1,1,1,214,16,400,4.0,4,3,4,6,6,1,1,1,1,4,1,1994,1,7788.77451160716,False,False
7,4,3,10,1,3,8,4,2,2,28.0,1,2,1,2,215,7,400,1.0,4,3,2,6,5,1,1,1,2,4,1,1994,2,87802.6902108818,False,False
7,1,1,3,2,3,13,2,2,2,57.0,1,2,1,1,216,12,400,1.0,4,3,4,7,8,1,1,1,3,4,1,1994,2,4149.53749617501,False,False
7,1,1,18,2,7,8,3,2,2,61.0,1,2,1,1,217,9,400,2.0,2,3,4,7,8,2,1,1,4,4,1,1994,2,8505.46751078618,False,False
4,1,5,3,2,3,5,1,2,2,52.0,1,1,1,6,220,1,400,4.0,4,3,1,7,7,1,1,1,2,4,1,1994,1,50126.9759553489,False,False
